Test Accuracy: 79.94%

Class    Precision    Recall    F1
1    0.4225    0.6667    0.5172
2    0.7778    0.7778    0.7778
3    0.8542    0.9111    0.8817
4    0.7174    0.7333    0.7253
5    0.85    0.7556    0.8
6    0.8913    0.9111    0.9011
7    0.8696    0.8889    0.8791
8    0.9211    0.7778    0.8434
9    0.8478    0.8667    0.8571
A    0.74    0.8222    0.7789
B    0.717    0.8444    0.7755
C    0.8478    0.8667    0.8571
D    0.9024    0.8222    0.8605
E    1.0    0.7778    0.875
F    0.9268    0.8444    0.8837
G    0.8571    0.8    0.8276
H    0.9    0.6    0.72
I    0.5769    0.3333    0.4225
J    0.8636    0.8444    0.8539
K    0.8478    0.8667    0.8571
L    0.4878    0.4444    0.4651
M    0.7959    0.8667    0.8298
N    0.6333    0.8444    0.7238
O    0.8367    0.9111    0.8723
P    0.8913    0.9111    0.9011
Q    0.8163    0.8889    0.8511
R    0.8049    0.7333    0.7674
S    0.75    0.7333    0.7416
T    0.86    0.9556    0.9053
U    0.8372    0.8    0.8182
V    0.7925    0.9333    0.8571
W    0.8889    0.8889    0.8889
X    0.8864    0.8667    0.8764
Y    0.8649    0.7111    0.7805
Z    0.7955    0.7778    0.7865

Macro Precision: 0.8078
Macro Recall: 0.7994
Macro F1: 0.7989
